song_name,artist_name,artist_pop,album_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Wicked Game,YES YES,54,Wicked Game,0.755,0.835,-6.727,0.0537,0.0202,0.000999,0.145,0.471,125.005,143040
You Right,Doja Cat,88,Planet Her,0.828,0.621,-6.414,0.0565,0.0164,0.00233,0.0845,0.436,128.986,186173
Whoopty,CJ,63,Whoopty,0.719,0.648,-7.6,0.125,0.2,0,0.127,0.66,140.201,123263
Electric Love,BØRNS,67,Dopamine,0.611,0.797,-7.627,0.0533,0.00543,0.00137,0.26,0.518,120.041,218107
When Hello Means Goodbye,Alex Alexander,46,On My Way,0.741,0.475,-7.665,0.205,0.0214,0,0.351,0.597,166.016,158160
More Than A Woman - From "Saturday Night Fever" Soundtrack,Bee Gees,75,How Can You Mend A Broken Heart,0.601,0.703,-6.24,0.0379,0.175,8.4e-05,0.571,0.673,106.164,196213
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton,68,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],0.824,0.862,-3.424,0.126,0.0076,0.000132,0.303,0.801,122.98,169153
Hawái,Maluma,83,PAPI JUANCHO,0.783,0.727,-3.454,0.389,0.185,2.46e-05,0.0626,0.558,180.067,199112
Mood (feat. iann dior),24kGoldn,74,Mood (feat. iann dior),0.7,0.722,-3.558,0.0369,0.221,0,0.272,0.756,90.989,140526
Paid,Astelle,32,Paid,0.861,0.631,-10.286,0.23,0.0188,0.000283,0.0954,0.675,117.993,180923
drivers license,Olivia Rodrigo,85,drivers license,0.585,0.436,-8.761,0.0601,0.721,1.31e-05,0.105,0.132,143.874,242014
Lemonade,Internet Money,72,Lemonade (feat. Gunna, Don Toliver & NAV),0.799,0.66,-6.153,0.079,0.256,0,0.111,0.471,140.04,195429
K Boy Bye,Astelle,32,K Boy Bye,0.547,0.865,-5.058,0.0483,0.0141,0,0.245,0.638,159.87,166354
Up,Cardi B,81,Up (Instrumental),0.868,0.795,-6.044,0.269,0.0012,0.0193,0.0461,0.819,166.0,156945
Just The Two of Us,Kauai45,50,Just The Two of Us,0.592,0.214,-13.468,0.115,0.936,1.62e-05,0.253,0.422,81.672,117037
Play With Me,Ana Shine,39,Play With Me,0.714,0.666,-6.012,0.0756,0.223,0,0.102,0.486,95.065,178261
Best Friend (feat. Doja Cat),Saweetie,73,Best Friend (feat. Doja Cat) [Remix EP],0.84,0.766,-4.12,0.136,0.00302,3.61e-06,0.0684,0.402,94.018,155884
Cupid's Chokehold / Breakfast in America,Gym Class Heroes,68,The Papercut Chronicles,0.72,0.744,-6.938,0.12,0.237,0,0.255,0.619,78.953,243773
Forever,Nadia Gattas,46,Forever,0.75,0.879,-4.88,0.0427,0.0233,0,0.193,0.333,124.038,181308
The Business,Tiësto,82,The Business,0.798,0.62,-7.079,0.232,0.414,0.0192,0.112,0.235,120.031,164000
telepatía,Kali Uchis,78,Sin Miedo (del Amor y Otros Demonios) ∞,0.653,0.524,-9.016,0.0502,0.112,0,0.203,0.553,83.97,160191
Gravity (feat. Tyler, The Creator),Brent Faiyaz,80,Gravity (feat. Tyler, The Creator),0.539,0.615,-8.746,0.252,0.173,0.0056,0.144,0.493,163.924,214693
motive (with Doja Cat),Ariana Grande,87,Positions (Deluxe),0.789,0.742,-5.664,0.0652,0.0681,0,0.166,0.661,116.965,167990
Feel Your Love,Yusuf Alev,46,Feel Your Love,0.68,0.778,-6.294,0.0433,0.0705,0,0.31,0.511,124.981,172714
Lost on You,sad girls,48,Lost on You,0.599,0.692,-4.43,0.0739,0.124,0,0.375,0.307,121.796,144349
Good Days,SZA,82,Good Days,0.436,0.655,-8.37,0.0583,0.499,8.1e-06,0.688,0.412,121.002,279204
What You Know Bout Love,Pop Smoke,83,Shoot For The Stars Aim For The Moon,0.709,0.548,-8.493,0.353,0.65,1.59e-06,0.133,0.543,83.995,160000
Rude Boy,YES YES,54,Rude Boy,0.739,0.734,-6.062,0.259,0.0242,0,0.0921,0.471,101.995,174858
WAP (feat. Megan Thee Stallion),Cardi B,81,WAP (feat. Megan Thee Stallion),0.935,0.454,-7.509,0.375,0.0194,0,0.0824,0.357,133.073,187541
Savage Love (Laxed - Siren Beat),Jawsh 685,63,Savage Love (Laxed - Siren Beat),0.767,0.481,-8.52,0.0803,0.234,0,0.269,0.761,150.076,171375
dirty laundry,blackbear,80,deadroses,0.766,0.64,-8.899,0.0345,0.051,0,0.237,0.67,100.044,165600
HOLIDAY,Lil Nas X,81,HOLIDAY,0.81,0.511,-6.924,0.164,0.12,0,0.0832,0.837,151.947,154998
WITHOUT YOU,The Kid LAROI,83,F*CK LOVE (SAVAGE),0.662,0.413,-7.357,0.0299,0.213,0,0.134,0.467,93.005,161385
Fly,Alex D'Rosso,56,Fly,0.676,0.842,-5.98,0.239,0.0578,0.00137,0.209,0.388,140.142,134857
ROCKSTAR (feat. Roddy Ricch),DaBaby,82,BLAME IT ON BABY,0.746,0.69,-7.956,0.164,0.247,0,0.101,0.497,89.977,181733
34+35,Ariana Grande,87,Positions,0.83,0.585,-6.476,0.094,0.237,0,0.248,0.485,109.978,173711
Rover (feat. DTG),S1mba,64,Rover (feat. DTG),0.613,0.624,-6.66,0.206,0.496,0,0.283,0.803,62.948,167917
Put Your Records On,Ritt Momney,60,Put Your Records On,0.399,0.492,-10.777,0.0538,0.058,0.00101,0.11,0.159,91.066,210463
Mood Swings (feat. Lil Tjay),Pop Smoke,83,Shoot For The Stars Aim For The Moon,0.48,0.602,-6.335,0.368,0.487,0,0.0848,0.269,179.798,213333
Therefore I Am,Billie Eilish,88,Therefore I Am,0.889,0.34,-7.773,0.0697,0.218,0.13,0.055,0.716,94.009,174321
Wild & Free,Nander,37,Wild & Free,0.474,0.722,-6.209,0.0355,0.0604,0,0.584,0.274,155.941,149231
Glad You Came,Braaheim,59,Glad You Came,0.732,0.919,-4.634,0.115,0.0271,0.000866,0.375,0.136,125.997,190879
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,83,Shoot For The Stars Aim For The Moon,0.823,0.586,-6.606,0.2,0.114,0,0.193,0.347,125.971,190476
Backyard Boy,Claire Rosinkranz,63,BeVerly Hills BoYfRiEnd,0.819,0.642,-7.037,0.189,0.336,0,0.0735,0.452,138.026,129241
TKN (feat. Travis Scott),ROSALÍA,83,TKN (feat. Travis Scott),0.776,0.509,-6.266,0.467,0.192,1.49e-06,0.115,0.485,94.634,129371
Say It Right,Coopex,60,Say It Right,0.712,0.816,-6.56,0.0447,0.152,0.0519,0.24,0.449,125.976,128095
Without You,Baby Bluu,31,Without You,0.625,0.698,-5.804,0.146,0.0107,0,0.156,0.204,120.119,132625
Play Date,Melanie Martinez,78,Cry Baby (Deluxe Edition),0.68,0.729,-5.077,0.0475,0.612,0,0.224,0.446,123.97,179867
Freak,Doja Cat,88,Freak,0.688,0.716,-5.702,0.0385,0.0969,0,0.0989,0.373,116.912,284480
Falling Down,Andrew Nagy,32,Falling Down,0.574,0.852,-9.051,0.0438,0.032,0.0705,0.136,0.0363,123.005,165854
Wait a Minute!,WILLOW,76,ARDIPITHECUS,0.764,0.705,-5.279,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003,196520
Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,Conkarah,53,Banana (feat. Shaggy) [DJ FLe - Minisiren Remix],0.824,0.854,-5.312,0.177,0.016,4.95e-05,0.117,0.896,95.114,210329
Over You,Myrrhe,26,Over You,0.863,0.325,-7.864,0.341,0.667,1.71e-05,0.1,0.537,98.948,126314
FLIP THE SWITCH (feat. Drake),Quavo,79,QUAVO HUNCHO,0.853,0.637,-5.924,0.331,0.129,0,0.267,0.496,86.048,156195
The Boss,Coopex,60,The Boss,0.734,0.789,-5.328,0.243,0.0809,0.000115,0.215,0.258,125.992,133810
